400
,,exp
400,60,177.539
400,70,196.875
400,80,205.664
400,90,213.867
400,100,216.211
400,125,188.086
400,150,319.922
400,200,307.031
400,250,446.484
,,obs
400,60,92.4098
400,70,100.135
400,80,117.29
400,90,119.664
400,100,101.938
400,125,87.7108
400,150,180.153
400,200,211.867
400,250,102.192
500
,,exp
500,60,72.6562
500,70,79.3945
500,80,77.6367
500,90,77.9297
500,100,73.8281
500,125,62.6953
500,150,98.1445
500,200,92.8711
500,250,99.6094
500,300,137.695
,,obs
500,60,71.3717
500,70,60.8864
500,80,55.3906
500,90,54.5886
500,100,45.9228
500,125,34.1729
500,150,53.6179
500,200,140.002
500,250,243.16
500,300,220.688
600
,,exp
600,60,54.375
600,70,43.4766
600,80,41.6016
600,90,39.1406
600,100,36.7969
600,125,29.2969
600,150,45.3516
600,200,41.6016
600,250,45.4688
600,300,50.3906
600,400,96.5625
,,obs
600,60,58.9963
600,70,26.1547
600,80,26.23
600,90,28.7738
600,100,20.8484
600,125,9.65206
600,150,15.2261
600,200,42.0407
600,250,87.7117
600,300,127.124
600,400,247.339
650
,,exp
650,60,58.5938
650,70,39.7266
650,80,34.6875
650,90,32.9297
650,100,30.5859
650,125,22.4414
650,150,34.9219
650,190,35.1562
650,250,34.3359
650,300,37.5
650,350,40.1953
650,400,54.1406
650,450,82.9688
650,500,119.297
,,obs
650,60,87.582
650,70,35.4737
650,80,22.1177
650,90,24.7322
650,100,20.2072
650,125,9.7892
650,150,13.6353
650,190,44.9637
650,250,47.6811
650,300,81.8332
650,350,121.745
650,400,137.852
650,450,196.284
650,500,93.5149
700
,,exp
700,60,71.0156
700,70,41.7188
700,80,32.4609
700,90,29.5312
700,100,26.7188
700,125,19.8633
700,150,31.1719
700,200,28.4766
700,250,29.0625
700,300,31.2891
700,400,38.4375
700,500,77.3438
,,obs
700,60,79.7676
700,70,45.1498
700,80,33.244
700,90,28.0665
700,100,23.6656
700,125,9.45404
700,150,14.2772
700,200,45.663
700,250,27.0416
700,300,43.0209
700,400,117.546
700,500,133.235
800
,,exp
800,60,82.7344
800,70,41.9531
800,80,25.6641
800,90,20.2148
800,100,17.2852
800,125,13.5352
800,150,19.8047
800,200,18.0469
800,250,17.8711
800,300,20.8594
800,400,24.4922
800,500,34.1016
800,600,59.2969
,,obs
800,60,82.5528
800,70,57.4349
800,80,31.2526
800,90,19.7148
800,100,14.7338
800,125,9.80298
800,150,9.70304
800,200,13.6797
800,250,24.1354
800,300,14.8067
800,400,26.5435
800,500,84.3041
800,600,83.3405
900
,,exp
900,60,91.6406
900,70,43.7109
900,80,24.7266
900,90,16.8164
900,100,12.4805
900,125,8.64258
900,150,13.0664
900,200,13.0664
900,250,13.3008
900,300,14.0625
900,400,16.1133
900,500,19.2773
900,600,27.7734
900,700,45
,,obs
900,60,82.8773
900,70,51.5817
900,80,32.7358
900,90,16.5951
900,100,8.24011
900,125,4.7186
900,150,8.00242
900,200,6.44591
900,250,8.14946
900,300,12.4707
900,400,10.1278
900,500,23.4526
900,600,42.8113
900,700,62.467
1000
,,exp
1000,60,107.344
1000,70,49.9219
1000,80,26.4844
1000,90,16.2305
1000,100,10.6348
1000,125,6.47461
1000,150,9.11133
1000,200,9.25781
1000,250,9.66797
1000,300,10.5762
1000,400,12.1289
1000,500,13.3008
1000,600,15.1758
1000,700,22.2656
1000,800,36.6797
,,obs
1000,60,110.089
1000,70,63.8909
1000,80,36.776
1000,90,21.3841
1000,100,10.4184
1000,125,3.65803
1000,150,4.48592
1000,200,4.77266
1000,250,5.37967
1000,300,8.87056
1000,400,10.0033
1000,500,10.0709
1000,600,22.3125
1000,700,32.8916
1000,800,70.3445
1100
,,exp
1100,90,17.0508
1100,100,11.1035
1100,125,5.00977
1100,150,7.03125
1100,200,7.20703
1100,250,7.64648
1100,300,8.23242
1100,400,9.14062
1100,500,10.1367
1100,600,10.8984
1100,700,12.5391
1100,800,19.2773
1100,900,33.1641
,,obs
1100,90,20.0755
1100,100,11.2892
1100,125,3.4292
1100,150,4.22716
1100,200,5.74827
1100,250,5.79314
1100,300,8.05573
1100,400,6.54357
1100,500,6.294
1100,600,10.4401
1100,700,14.4273
1100,800,38.0505
1100,900,74.8736
1200
,,exp
1200,90,18.9844
1200,100,11.6602
1200,125,4.81934
1200,150,6.00586
1200,200,6.12305
1200,250,6.5918
1200,300,6.94336
1200,400,7.44141
1200,500,7.85156
1200,600,8.34961
1200,700,8.64258
1200,800,11.543
1200,900,17.4023
1200,1000,27.0703
,,obs
1200,90,24.9861
1200,100,15.3541
1200,125,4.25751
1200,150,4.29095
1200,200,3.72503
1200,250,4.99645
1200,300,9.04756
1200,400,5.50141
1200,500,7.08894
1200,600,9.22336
1200,700,11.9283
1200,800,12.7181
1200,900,45.9232
1200,1000,54.74
1400
,,exp
1400,90,36.0938
1400,100,21.8555
1400,125,8.52539
1400,150,6.79688
1400,200,6.47461
1400,250,6.41602
1400,300,6.73828
1400,400,6.82617
1400,500,6.41602
1400,600,6.35742
1400,700,6.06445
1400,800,6.65039
1400,900,7.41211
1400,1000,8.96484
1400,1200,21.7383
,,obs
1400,90,65.8586
1400,100,38.1376
1400,125,9.06093
1400,150,4.12314
1400,200,4.05476
1400,250,2.75385
1400,300,8.78496
1400,400,5.58801
1400,500,4.98393
1400,600,5.57912
1400,700,6.09414
1400,800,9.92381
1400,900,17.1485
1400,1000,17.5073
1400,1200,24.4239
1600
,,exp
1600,200,10.5469
1600,250,6.84375
1600,300,7.14844
1600,400,7.00781
1600,500,7.00781
1600,600,6.30469
1600,700,5.74219
1600,800,5.41406
1600,900,5.48438
1600,1000,5.64844
1600,1200,7.33594
1600,1400,17.9531
,,obs
1600,200,7.633
1600,250,5.44502
1600,300,7.92702
1600,400,8.59227
1600,500,7.72471
1600,600,3.45519
1600,700,3.54001
1600,800,3.44601
1600,900,4.73724
1600,1000,5.41374
1600,1200,11.1055
1600,1400,13.3409
